Substructure,Molecules containing fragment,Number of Molecules_with_Fragment,Mean score cluster,Steps,Number of Molecules_with_Fragment List,step min,step count
F[B-]1(F)n2c(Cl)ccc2C(c2ccc(Cl)cc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Cl)ccc2C(c2ccc(Cl)cc2)=C2C=CC=[N+]21'},1,0.6059462,[250],[2],250,1
F[B-]1(F)n2c(Cl)ccc2C(c2ccc(Br)s2)=C2C=CC(Br)=[N+]21,{'F[B-]1(F)n2c(Cl)ccc2C(c2ccc(Br)s2)=C2C=CC(Br)=[N+]21'},1,0.0,[340],[2],340,1
F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C(Cl)=C(Cl)C=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C(Cl)=C(Cl)C=[N+]21'},1,0.5867566,[250],[2],250,1
F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C(Br)=CC(Br)=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C(Br)=CC(Br)=[N+]21'},1,0.0,[310],[2],310,1
F[B-]1(F)c2cccnc2C(=C2C=CC(Br)=[N+]2)c2cc(Br)cn21,{'F[B-]1(F)c2cccnc2C(=C2C=CC(Br)=[N+]2)c2cc(Br)cn21'},1,0.5351631,[350],[2],350,1
Fc1ccc(C2=C3C=CC=C3[B-](F)(F)n3ccc(Br)c32)cc1,{'Fc1ccc(C2=C3C=CC=C3[B-](F)(F)n3ccc(Br)c32)cc1'},1,0.5310945,[350],[2],350,1
F[B-]1(F)c2cccn2[B-](F)(F)[N+]2=C(Br)C(c3ccccc3)=[N+]21,{'F[B-]1(F)c2cccn2[B-](F)(F)[N+]2=C(Br)C(c3ccccc3)=[N+]21'},1,0.0797989,[190],[2],190,1
F[B-]1(F)OC(c2ccccc2)=Cc2ccc3ccccc3[n+]21,{'F[B-]1(F)OC(c2ccccc2)=Cc2ccc3ccccc3[n+]21'},1,0.2189163,[80],[2],80,1
F[B-]1(F)N2C=CC=C(Cl)C2=C(c2ccccn2)c2cccn21,{'F[B-]1(F)N2C=CC=C(Cl)C2=C(c2ccccn2)c2cccn21'},1,0.5605929,[300],[2],300,1
F[B-]1(F)N(c2ccccc2)N=C2C=CC(c3ccccc3)=[N+]21,{'F[B-]1(F)N(c2ccccc2)N=C2C=CC(c3ccccc3)=[N+]21'},1,0.4278075,[150],[2],150,1
F[B-]1(F)C=c2cc(Br)ccc2=C(c2ccc[nH]2)c2cccn21,{'F[B-]1(F)C=c2cc(Br)ccc2=C(c2ccc[nH]2)c2cccn21'},1,0.5335847,[300],[2],300,1
F[B-]1(F)C2=CC=C(Cl)C2=C(c2ccco2)c2cc(Cl)c(Cl)n21,{'F[B-]1(F)C2=CC=C(Cl)C2=C(c2ccco2)c2cc(Cl)c(Cl)n21'},1,0.5602059,[350],[2],350,1
F[B-]1(F)n2c(Cl)ccc2C(c2ccncc2)=C2C=CC(Cl)=[N+]21,{'F[B-]1(F)n2c(Cl)ccc2C(c2ccncc2)=C2C=CC(Cl)=[N+]21'},1,0.6131427,[350],[2],350,1
F[B-]1(F)n2c([s+]c3ccccc32)-c2c3ccccc3cc[n+]21,{'F[B-]1(F)n2c([s+]c3ccccc32)-c2c3ccccc3cc[n+]21'},1,0.2561058,[60],[2],60,1
F[B-]1(F)n2c(cc(Br)c2Cl)C(c2ccc[nH]2)=C2C=CC(Br)=[N+]21,{'F[B-]1(F)n2c(cc(Br)c2Cl)C(c2ccc[nH]2)=C2C=CC(Br)=[N+]21'},1,0.5978637,[360],[2],360,1
F[B-]1(F)n2c(cc3ccccc32)-c2ccc3ccccc3[n+]21,{'F[B-]1(F)n2c(cc3ccccc32)-c2ccc3ccccc3[n+]21'},1,0.213634,[240],[2],240,1
F[B-]1(F)n2cc(Br)cc2C(c2ccc(Br)s2)=C2C=CC(Br)=[N+]21,{'F[B-]1(F)n2cc(Br)cc2C(c2ccc(Br)s2)=C2C=CC(Br)=[N+]21'},1,0.5778154,[310],[2],310,1
F[B-]1(F)n2cc(Br)cc2C(c2cccnc2)=C2C(Cl)=CC=[N+]21,{'F[B-]1(F)n2cc(Br)cc2C(c2cccnc2)=C2C(Cl)=CC=[N+]21'},1,0.5990363,[270],[2],270,1
F[B-]1(F)n2ccc(Br)c2C(c2ccc(Br)cc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2ccc(Br)c2C(c2ccc(Br)cc2)=C2C=CC=[N+]21'},1,0.0,[260],[2],260,1
F[B-]1(F)n2cccc2C(=C2C=CC=[S+]2)c2cccn2[B-]1(F)F,{'F[B-]1(F)n2cccc2C(=C2C=CC=[S+]2)c2cccn2[B-]1(F)F'},1,0.5039838,[240],[2],240,1
F[B-]1(F)n2cccc2C(c2ccc(Br)cc2)=C2C(Br)=CC=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccc(Br)cc2)=C2C(Br)=CC=[N+]21'},1,0.0,[300],[2],300,1
F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C=CC(Br)=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C=CC(Br)=[N+]21'},1,0.0,[240],[2],240,1
F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C=CC(Cl)=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccc(Cl)cc2)=C2C=CC(Cl)=[N+]21'},1,0.0,[260],[2],260,1
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=C(Cl)C(Cl)=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=C(Cl)C(Cl)=[N+]21'},1,0.0,[260],[2],260,1
F[B-]1(F)n2cccc2C(c2ccccc2Cl)=C2C=CC(Cl)=[N+]21,{'F[B-]1(F)n2cccc2C(c2ccccc2Cl)=C2C=CC(Cl)=[N+]21'},1,0.0,[260],[2],260,1
F[B-]1(F)n2cccc2C(c2cccnc2)=C2C(Br)=CC(Br)=[N+]21,{'F[B-]1(F)n2cccc2C(c2cccnc2)=C2C(Br)=CC(Br)=[N+]21'},1,0.0,[300],[2],300,1
F[B-]1(F)n2cccc2C=C(c2ccccc2)c2cccc[n+]21,{'F[B-]1(F)n2cccc2C=C(c2ccccc2)c2cccc[n+]21'},1,0.3320045,[310],[2],310,1
F[Si](F)(F)c1ccccc1-c1cccc(-c2ccccc2)c1,{'F[Si](F)(F)c1ccccc1-c1cccc(-c2ccccc2)c1'},1,0.0068276,[310],[2],310,1
Fc1c(F)c2ccc(-c3ccccc3)cc2c2ccccc12,{'Fc1c(F)c2ccc(-c3ccccc3)cc2c2ccccc12'},1,0.0615322,[140],[2],140,1
CC1(C)C2=C(Br)C(=Cc3ccccc3)C(c3ccccc3)=C21,{'CC1(C)C2=C(Br)C(=Cc3ccccc3)C(c3ccccc3)=C21'},1,0.4981089,[220],[2],220,1
CC(NC(=S)COC(=O)c1ccc(Cl)cc1)c1ccccc1,{'CC(NC(=S)COC(=O)c1ccc(Cl)cc1)c1ccccc1'},1,0.0,[30],[2],30,1
O=c1c2ccc(-c3ccccc3)c(=O)n2c(=O)c2cccn12,{'O=c1c2ccc(-c3ccccc3)c(=O)n2c(=O)c2cccn12'},1,0.3252482,[160],[2],160,1
Cc1cc2nc(C(=O)c3ccccc3)ccc2c(C)c1Cl,{'Cc1cc2nc(C(=O)c3ccccc3)ccc2c(C)c1Cl'},1,0.0944137,[370],[2],370,1
Clc1ccc(-c2c3ccccc3cc3ccccc23)cc1,{'Clc1ccc(-c2c3ccccc3cc3ccccc23)cc1'},1,0.403697,[170],[2],170,1
Cc1ccccc1C(C=C1C(=O)Nc2ccccc21)=NO,{'Cc1ccccc1C(C=C1C(=O)Nc2ccccc21)=NO'},1,0.0,[120],[2],120,1
Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1,{'Cc1ccc(S(=O)(=O)NC23CC4CC(CC(C4)C2)C3)cc1'},1,0.0018109,[10],[2],10,1
Cc1ccc(S(=O)(=O)N2CCN=Cc3ccccc32)cc1,{'Cc1ccc(S(=O)(=O)N2CCN=Cc3ccccc32)cc1'},1,0.0230949,[90],[2],90,1
Cc1ccc(C2=CC(c3ccccc3)=N[Si](O)(Cl)O2)cc1,{'Cc1ccc(C2=CC(c3ccccc3)=N[Si](O)(Cl)O2)cc1'},1,0.1546899,[100],[2],100,1
Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1,"{'Cc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1', 'Fc1ccc(C2=C3C=CC=[N+]3[B-](F)(F)n3cccc32)cc1'}",2,0.0,"[360, 320]","[2, 2]",320,2
Cc1c2c(nc3c(-c4ccccc4)coc13)C1C=CC2C1,{'Cc1c2c(nc3c(-c4ccccc4)coc13)C1C=CC2C1'},1,0.0077379,[60],[2],60,1
Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1,{'Clc1cccc(C2COc3c(Cl)c(Cl)c(Cl)c(Cl)c3O2)c1'},1,0.0075067,[10],[2],10,1
Cc1c(C([O-])=C2C=N[N+](=O)C=[N+]2C)c(=O)c(Cl)c(Cl)n1[O-],{'Cc1c(C([O-])=C2C=N[N+](=O)C=[N+]2C)c(=O)c(Cl)c(Cl)n1[O-]'},1,0.3512973,[400],[2],400,1
Cc1c(-c2ccccc2)cc2n1C(=O)Cc1ccccc1-2,{'Cc1c(-c2ccccc2)cc2n1C(=O)Cc1ccccc1-2'},1,0.0382344,[70],[2],70,1
C[Si](C)=C([Si](C)(C)C)[Si](C)(C)[Si](C)([Si](C)(C)C)[Si](C)(C)C,{'C[Si](C)=C([Si](C)(C)C)[Si](C)(C)[Si](C)([Si](C)(C)C)[Si](C)(C)C'},1,0.0422361,[180],[2],180,1
C[SH](=O)([O-])c1ccc(C(=O)C2=[S+]C3C(CC2)C3(Cl)Cl)cc1,{'C[SH](=O)([O-])c1ccc(C(=O)C2=[S+]C3C(CC2)C3(Cl)Cl)cc1'},1,0.0701127,[80],[2],80,1
COc1ccccc1-c1ccc(-c2ccccc2N)nn1,{'COc1ccccc1-c1ccc(-c2ccccc2N)nn1'},1,0.1091862,[160],[2],160,1
COc1cccc2c1C=C1N(C)C(=O)C3=CN(C)CCC312,{'COc1cccc2c1C=C1N(C)C(=O)C3=CN(C)CCC312'},1,0.0684028,[170],[2],170,1
Clc1ccc2c(c1)C(=C1[N-]c3c(Cl)cccc3N1)N=[S+]C2,{'Clc1ccc2c(c1)C(=C1[N-]c3c(Cl)cccc3N1)N=[S+]C2'},1,0.1482663,[60],[2],60,1
Cn1c(C(=O)c2ccc(Br)cc2)c(Br)c2cc(Br)ccc21,{'Cn1c(C(=O)c2ccc(Br)cc2)c(Br)c2cc(Br)ccc21'},1,0.1241282,[230],[2],230,1
CC(C)(O)C(C)(C)P1Cc2cccc(n2)Cc2ccccc21,{'CC(C)(O)C(C)(C)P1Cc2cccc(n2)Cc2ccccc21'},1,0.0,[30],[2],30,1
F[B-]1(F)n2c(Br)ccc2C(c2ccc(Br)[nH]2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccc(Br)[nH]2)=C2C=CC=[N+]21'},1,0.5932605,[300],[2],300,1
F[B-]1(F)n2c(Cl)ccc2C(c2ccncc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Cl)ccc2C(c2ccncc2)=C2C=CC=[N+]21'},1,0.0,[290],[2],290,1
F[B-]1(F)n2c(Cl)ccc2C(c2cccnc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Cl)ccc2C(c2cccnc2)=C2C=CC=[N+]21'},1,0.5518087,[270],[2],270,1
F[B-]1(F)n2c(Br)ccc2C(c2ccncc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccncc2)=C2C=CC=[N+]21'},1,0.0,[290],[2],290,1
F[B-]1(F)n2c(Br)ccc2C(c2cccnc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2cccnc2)=C2C=CC=[N+]21'},1,0.0,[240],[2],240,1
F[B-]1(F)n2c(Br)ccc2C(c2ccccn2)=C2C=CC=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccccn2)=C2C=CC=[N+]21'},1,0.6028076,[320],[2],320,1
F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C=CC(Cl)=[N+]21,{'F[B-]1(F)n2c(Br)ccc2C(c2ccc[nH]2)=C2C=CC(Cl)=[N+]21'},1,0.602045,[280],[2],280,1
F[B-]1(F)OC(c2ccccc2)=CC(c2ccc(Cl)cc2)=[O+]1,{'F[B-]1(F)OC(c2ccccc2)=CC(c2ccc(Cl)cc2)=[O+]1'},1,0.1360155,[330],[2],330,1
Cn1c2ccc3ccccc3c2s[nH]p1-c1ccccc1,{'Cn1c2ccc3ccccc3c2s[nH]p1-c1ccccc1'},1,0.0512707,[50],[2],50,1
F[B-]1(F)N2C=CC=NC2=C(Cl)C(Cl)=[N+]1c1ccc(Cl)cc1,{'F[B-]1(F)N2C=CC=NC2=C(Cl)C(Cl)=[N+]1c1ccc(Cl)cc1'},1,0.198154,[280],[2],280,1
F[B-]1(F)C=C2C=c3ccccc3=C2C=C1c1ccccc1,{'F[B-]1(F)C=C2C=c3ccccc3=C2C=C1c1ccccc1'},1,0.2586743,[190],[2],190,1
F[B-]1(F)C2=CC=CC2=C(c2cccc(Br)c2)c2cccn21,{'F[B-]1(F)C2=CC=CC2=C(c2cccc(Br)c2)c2cccn21'},1,0.5284506,[210],[2],210,1
F[B-]1(F)C2=CC=C(Cl)C2=C(c2ccc[nH]2)c2ccc(Br)n21,{'F[B-]1(F)C2=CC=C(Cl)C2=C(c2ccc[nH]2)c2ccc(Br)n21'},1,0.5557094,[390],[2],390,1
F[B-]1(F)C(Cl)=[n+]2c(ccc3ccccc32)=Cc2cccn21,{'F[B-]1(F)C(Cl)=[n+]2c(ccc3ccccc32)=Cc2cccn21'},1,0.4014548,[260],[2],260,1
FC1=C(F)C(F)(F)C(F)(F)C2=Cc3c(Br)cccc3C21F,{'FC1=C(F)C(F)(F)C(F)(F)C2=Cc3c(Br)cccc3C21F'},1,0.0592674,[290],[2],290,1
COc1cccc(C2=[SH][SH]=C(c3ccccc3)[N+]2=O)c1Cl,{'COc1cccc(C2=[SH][SH]=C(c3ccccc3)[N+]2=O)c1Cl'},1,0.4967555,[140],[2],140,1
COc1ccc2cc3ccc(C)c4c(C)c(O)c(c1)c-2c34,{'COc1ccc2cc3ccc(C)c4c(C)c(O)c(c1)c-2c34'},1,0.2708332,[170],[2],170,1
COc1ccc2c(-c3ccccc3)c3ccoc3cc2c1,{'COc1ccc2c(-c3ccccc3)c3ccoc3cc2c1'},1,0.1632198,[110],[2],110,1
CC1=CC2=CC3(C)C(=O)C=CC(C)C3=CC(C)(O)C2C1=O,{'CC1=CC2=CC3(C)C(=O)C=CC(C)C3=CC(C)(O)C2C1=O'},1,0.1251733,[100],[2],100,1
CN1C(=O)c2ccccc2C(=O)C1=Cc1ccc(Br)cc1,{'CN1C(=O)c2ccccc2C(=O)C1=Cc1ccc(Br)cc1'},1,0.2645527,[240],[2],240,1
CN1C(=O)N(C)N(C)C(=S)C1=Cc1ccc2c(c1)OCO2,{'CN1C(=O)N(C)N(C)C(=S)C1=Cc1ccc2c(c1)OCO2'},1,0.1452327,[30],[2],30,1
CN1C(=O)C(=CNc2ccccc2)C(=O)c2ccccc21,{'CN1C(=O)C(=CNc2ccccc2)C(=O)c2ccccc21'},1,0.0585964,[30],[2],30,1
CN(C)c1ccc(C(=O)OC(=O)c2ccc(Br)cc2)cc1,{'CN(C)c1ccc(C(=O)OC(=O)c2ccc(Br)cc2)cc1'},1,0.0158479,[30],[2],30,1
CC[S+]=C1C=CC=CC1=C1C=CC(N2[N-]C3[N-]C32)=C[N+]1=O,{'CC[S+]=C1C=CC=CC1=C1C=CC(N2[N-]C3[N-]C32)=C[N+]1=O'},1,0.0,[130],[2],130,1
CC1=CC=NC1=C1c2ccccc2C(=O)c2ccccc21,{'CC1=CC=NC1=C1c2ccccc2C(=O)c2ccccc21'},1,0.2823522,[150],[2],150,1
CC1=CC2(C)C(=O)C=CC13C(=O)OC1=C(C)C(=O)CC2C13,{'CC1=CC2(C)C(=O)C=CC13C(=O)OC1=C(C)C(=O)CC2C13'},1,0.0299152,[100],[2],100,1
COc1ccc(S(=O)(=O)Nc2ccccc2CC#N)cc1,{'COc1ccc(S(=O)(=O)Nc2ccccc2CC#N)cc1'},1,0.0,[150],[2],150,1
CC1=C2C(=O)N(C)C(=O)C2CCN1C(=O)c1ccccc1,{'CC1=C2C(=O)N(C)C(=O)C2CCN1C(=O)c1ccccc1'},1,0.0204689,[90],[2],90,1
CC1=C(c2ccc(C)cc2)C(=NNc2ccccc2)N=N1,{'CC1=C(c2ccc(C)cc2)C(=NNc2ccccc2)N=N1'},1,0.2365974,[280],[2],280,1
CC12C(=O)N(c3ccc(Cl)cc3)C3CCC1COC32CO,{'CC12C(=O)N(c3ccc(Cl)cc3)C3CCC1COC32CO'},1,0.0047872,[70],[2],70,1
CC1(C)OC2NC(C(C)(C)C)B(c3ccccc3)OC2O1,{'CC1(C)OC2NC(C(C)(C)C)B(c3ccccc3)OC2O1'},1,0.0,[20],[2],20,1
CC(c1ccccc1)=[N+]1C=CN(c2ccccc2)[B-]1(F)F,{'CC(c1ccccc1)=[N+]1C=CN(c2ccccc2)[B-]1(F)F'},1,0.0,[250],[2],250,1
CC(C=NNc1ccc(N([O-])[O-])cc1Cl)=C1C=CC(Cl)=[S+]1,{'CC(C=NNc1ccc(N([O-])[O-])cc1Cl)=C1C=CC(Cl)=[S+]1'},1,0.0,[220],[2],220,1
CN1c2ccccc2C(=O)CC1c1ccc2c(c1)OCO2,{'CN1c2ccccc2C(=O)CC1c1ccc2c(c1)OCO2'},1,0.0383667,[140],[2],140,1
COC(=Nc1ccc(Cl)cc1Cl)Nc1cc(C)ccc1C,{'COC(=Nc1ccc(Cl)cc1Cl)Nc1cc(C)ccc1C'},1,0.01008,[80],[2],80,1
COC(=O)C1(c2ccccc2)OC(=O)Cc2ccccc21,{'COC(=O)C1(c2ccccc2)OC(=O)Cc2ccccc21'},1,0.0019231,[120],[2],120,1
COC(=O)C1=C(Cl)C(=C2C=C(Cl)C(Cl)=C2C)[P-](C)(=O)=C1Cl,{'COC(=O)C1=C(Cl)C(=C2C=C(Cl)C(Cl)=C2C)[P-](C)(=O)=C1Cl'},1,0.3605091,[250],[2],250,1
COC(=O)C1=C2C(=O)C3C4CN2C(=O)C3C2=C4CC=CC12,{'COC(=O)C1=C2C(=O)C3C4CN2C(=O)C3C2=C4CC=CC12'},1,0.1356391,[100],[2],100,1
COC(=O)N1Cc2ccc(cc2)COCc2ccc1cc2,{'COC(=O)N1Cc2ccc(cc2)COCc2ccc1cc2'},1,0.0023684,[170],[2],170,1
COC(=O)[N+](CCN1C(=O)O[B-]1(F)F)Cc1ccccc1,{'COC(=O)[N+](CCN1C(=O)O[B-]1(F)F)Cc1ccccc1'},1,0.0,[20],[2],20,1
COC(=O)c1ccc(-c2nnnn2-c2ccccc2)cc1,{'COC(=O)c1ccc(-c2nnnn2-c2ccccc2)cc1'},1,0.0085253,[60],[2],60,1
COC(=O)c1ccc2c(c1)Cc1ccccc1N(C)C2=O,{'COC(=O)c1ccc2c(c1)Cc1ccccc1N(C)C2=O'},1,0.0080705,[110],[2],110,1
COC1=CC2(C)OC3(OC)C(=O)N(C)C(C)(Cl)C3C1C2=O,{'COC1=CC2(C)OC3(OC)C(=O)N(C)C(C)(Cl)C3C1C2=O'},1,0.0238151,[60],[2],60,1
COc1ccc(-c2cc3cnc4ccccc4c3o2)cc1,{'COc1ccc(-c2cc3cnc4ccccc4c3o2)cc1'},1,0.0600011,[180],[2],180,1
COc1ccc(C=C2N=CC(Nc3ccccc3)=N2)cc1,{'COc1ccc(C=C2N=CC(Nc3ccccc3)=N2)cc1'},1,0.379272,[210],[2],210,1
COc1ccc(C=NNc2ccc([N+](=O)[O-])cc2)cc1O,{'COc1ccc(C=NNc2ccc([N+](=O)[O-])cc2)cc1O'},1,0.1405479,[200],[2],200,1
COc1ccc(CN2CCc3c2sc2ccccc32)cc1,{'COc1ccc(CN2CCc3c2sc2ccccc32)cc1'},1,0.0167117,[40],[2],40,1
COc1ccc(Cl)c2c1-c1cccc3cccc(c13)C2=O,{'COc1ccc(Cl)c2c1-c1cccc3cccc(c13)C2=O'},1,0.2216103,[150],[2],150,1
COc1ccc(N=Cc2cc([N+](=O)[O-])ccc2O)cc1O,{'COc1ccc(N=Cc2cc([N+](=O)[O-])ccc2O)cc1O'},1,0.0926252,[180],[2],180,1
COc1ccc(Oc2ccc(C)cc2)c2ccc(=O)oc12,{'COc1ccc(Oc2ccc(C)cc2)c2ccc(=O)oc12'},1,0.0319196,[30],[2],30,1
F[B-]1(F)n2cc(Cl)cc2C(c2ccncc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2cc(Cl)cc2C(c2ccncc2)=C2C=CC=[N+]21'},1,0.5524442,[350],[2],350,1
F[B-]1(F)n2ccc(Br)c2C(c2ccccc2)=C2C=CC=[N+]21,{'F[B-]1(F)n2ccc(Br)c2C(c2ccccc2)=C2C=CC=[N+]21'},1,0.6085173,[190],[2],190,1
F[B-]1(F)n2cccc2C(=C2C=CC(Cl)=[O+]2)c2ccc(Br)n21,{'F[B-]1(F)n2cccc2C(=C2C=CC(Cl)=[O+]2)c2ccc(Br)n21'},1,0.0,[310],[2],310,1
O=c1oc2ccccc2cc1-c1cncc2ccccc12,{'O=c1oc2ccccc2cc1-c1cncc2ccccc12'},1,0.059043,[400],[2],400,1
c1ccc(CN2c3ccccc3Oc3ccccc32)cc1,{'c1ccc(CN2c3ccccc3Oc3ccccc32)cc1'},1,0.0233088,[200],[2],200,1
c1ccc(C2=C(c3ccccc3)C2c2ccccc2)cc1,{'c1ccc(C2=C(c3ccccc3)C2c2ccccc2)cc1'},1,0.0631175,[90],[2],90,1
S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1,{'S=c1sc2c(Cl)c(Cl)c(Cl)c(Cl)c2n1Cc1ccccc1'},1,0.0591193,[10],[2],10,1
Oc1ccccc1C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21,{'Oc1ccccc1C1=C2C=CC=[N+]2[B-](F)(F)n2cccc21'},1,0.0,[280],[2],280,1
Oc1c(Cl)c2c(c(Cl)c1Br)-c1c(ccc3ccccc13)C2,{'Oc1c(Cl)c2c(c(Cl)c1Br)-c1c(ccc3ccccc13)C2'},1,0.0882116,[100],[2],100,1
OC(c1ccccc1)c1ccccc1-c1cc(Cl)ncn1,{'OC(c1ccccc1)c1ccccc1-c1cc(Cl)ncn1'},1,0.0090122,[200],[2],200,1
O=c1oc2c3ccccc3cccc-2c1-c1ccccc1,{'O=c1oc2c3ccccc3cccc-2c1-c1ccccc1'},1,0.2693878,[170],[2],170,1
O=C1SSN(c2ccc(Cl)cc2)c2c1sc1ccccc21,{'O=C1SSN(c2ccc(Cl)cc2)c2c1sc1ccccc21'},1,0.1428506,[30],[2],30,1
O=[N+]([O-])c1cccc(-c2c3nc(c4ccccc24)C=C3)c1,{'O=[N+]([O-])c1cccc(-c2c3nc(c4ccccc24)C=C3)c1'},1,0.2586308,[280],[2],280,1
O=S1(=O)Nc2ccccc2NC(c2ccc(F)cc2)=C1F,{'O=S1(=O)Nc2ccccc2NC(c2ccc(F)cc2)=C1F'},1,0.0528865,[180],[2],180,1
O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21,{'O=S1(=O)N=C(c2ccccc2)C(F)(F)c2cc(Br)ccc21'},1,0.0180158,[10],[2],10,1
O=CN1c2ccccc2CCc2ccc3ccccc3c21,{'O=CN1c2ccccc2CCc2ccc3ccccc3c21'},1,0.0596631,[80],[2],80,1
O=C1c2ccccc2C2=[N+]1[B-](F)(F)C(=O)c1ccccc12,{'O=C1c2ccccc2C2=[N+]1[B-](F)(F)C(=O)c1ccccc12'},1,0.2611085,[270],[2],270,1
O=C1c2ccccc2C(=O)c2[nH]c(-c3ccccc3)cc21,{'O=C1c2ccccc2C(=O)c2[nH]c(-c3ccccc3)cc21'},1,0.1228387,[50],[2],50,1
c1ccc([Se]N=C2c3ccccc3-c3ccccc32)cc1,{'c1ccc([Se]N=C2c3ccccc3-c3ccccc32)cc1'},1,0.1914749,[100],[2],100,1
c1ccc2c3c(ccc2c1)Sc1sc2ccccc2c1S3,{'c1ccc2c3c(ccc2c1)Sc1sc2ccccc2c1S3'},1,0.0689002,[40],[2],40,1
c1cnc2c(c1)sc1c3ccccc3c3ccccc3c21,{'c1cnc2c(c1)sc1c3ccccc3c3ccccc3c21'},1,0.0526536,[140],[2],140,1
C(=Nc1[n-]cc[s+]1)c1ccc2oc(-c3ccccc3)cc2c1,{'C(=Nc1[n-]cc[s+]1)c1ccc2oc(-c3ccccc3)cc2c1'},1,0.2142832,[120],[2],120,1
C(=Nc1cccc2ccccc12)c1cccc2ccccc12,{'C(=Nc1cccc2ccccc12)c1cccc2ccccc12'},1,0.2171712,[130],[2],130,1
C=C(C)CC1c2cc3ccccc3cc2C2CCCC(=O)N21,{'C=C(C)CC1c2cc3ccccc3cc2C2CCCC(=O)N21'},1,0.0,[10],[2],10,1
C=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C,{'C=C1CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC12C'},1,0.0281539,[10],[2],10,1
C=C1OC(C)=CC12CC1(C)C(=O)CCC1C(C)(C)C(C)C2O,{'C=C1OC(C)=CC12CC1(C)C(=O)CCC1C(C)(C)C(C)C2O'},1,0.0095839,[40],[2],40,1
C=C1[N+]([O-])=CC(c2ccc(Br)cc2)C12C(=O)c1ccccc12,{'C=C1[N+]([O-])=CC(c2ccc(Br)cc2)C12C(=O)c1ccccc12'},1,0.0713035,[170],[2],170,1
C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21,{'C=C=C1C2CN1S(=O)(=O)C(c1ccccc1)C1(C)CCCC21'},1,0.0,[10],[2],10,1
C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1,{'C=CC(CC(C#N)S(=O)(=O)c1ccccc1)c1ccccc1'},1,0.0,[10],[2],10,1
CC(=O)N1C2C3C=CC(C3)C2c2cc(-c3ccccc3)nn21,{'CC(=O)N1C2C3C=CC(C3)C2c2cc(-c3ccccc3)nn21'},1,0.0,[50],[2],50,1
CC(=O)N1N=C(c2ccccc2)C2Cc3ccccc3C1C2,{'CC(=O)N1N=C(c2ccccc2)C2Cc3ccccc3C1C2'},1,0.0,[170],[2],170,1
CC(=O)N1N=C(c2ncccc2Cl)CC1c1ccccc1O,{'CC(=O)N1N=C(c2ncccc2Cl)CC1c1ccccc1O'},1,0.0,[20],[2],20,1
CC(=O)N1OC2C(O)C(O)C(CO)C1C2(O)c1ccccc1,{'CC(=O)N1OC2C(O)C(O)C(CO)C1C2(O)c1ccccc1'},1,0.0,[20],[2],20,1
CC(=O)OC(=O)c1cc([N+](=O)[O-])c(N)cc1-c1ccccc1,{'CC(=O)OC(=O)c1cc([N+](=O)[O-])c(N)cc1-c1ccccc1'},1,0.0,[90],[2],90,1
CC(C)(C)c1oc2cccc3c2c1-c1ccccc1OC3=O,{'CC(C)(C)c1oc2cccc3c2c1-c1ccccc1OC3=O'},1,0.0,[160],[2],160,1
